[VENDIDO]   2025-04-03 19:50:22 - [ID=1] Sedan Tradicional Verde | Estação: 3 | Funcionário: 115 | Posição Esteira: 30 | Loja: 2 | Posição Esteira Loja: 12
[VENDIDO]   2025-04-03 19:50:22 - [ID=43] Sedan Tradicional Azul | Estação: 4 | Funcionário: 108 | Posição Esteira: 30 | Loja: 2 | Posição Esteira Loja: 6
[VENDIDO]   2025-04-03 19:50:22 - [ID=44] Sedan Tradicional Azul | Estação: 4 | Funcionário: 105 | Posição Esteira: 26 | Loja: 1 | Posição Esteira Loja: 31
[VENDIDO]   2025-04-03 19:50:22 - [ID=45] Sedan Tradicional Azul | Estação: 1 | Funcionário: 116 | Posição Esteira: 17 | Loja: 1 | Posição Esteira Loja: 2
[VENDIDO]   2025-04-03 19:50:22 - [ID=46] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 120 | Posição Esteira: 7 | Loja: 2 | Posição Esteira Loja: 31
[VENDIDO]   2025-04-03 19:50:22 - [ID=47] Utilitário Esportivo Azul | Estação: 4 | Funcionário: 118 | Posição Esteira: 36 | Loja: 1 | Posição Esteira Loja: 9
[VENDIDO]   2025-04-03 19:50:22 - [ID=48] Sedan Tradicional Vermelho | Estação: 3 | Funcionário: 115 | Posição Esteira: 37 | Loja: 3 | Posição Esteira Loja: 20
[VENDIDO]   2025-04-03 19:50:22 - [ID=49] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 110 | Posição Esteira: 22 | Loja: 3 | Posição Esteira Loja: 17
[VENDIDO]   2025-04-03 19:50:22 - [ID=50] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 118 | Posição Esteira: 24 | Loja: 3 | Posição Esteira Loja: 10
[VENDIDO]   2025-04-03 19:50:22 - [ID=51] Sedan Tradicional Azul | Estação: 2 | Funcionário: 106 | Posição Esteira: 31 | Loja: 1 | Posição Esteira Loja: 10
[VENDIDO]   2025-04-03 19:50:22 - [ID=52] Sedan Tradicional Verde | Estação: 4 | Funcionário: 107 | Posição Esteira: 38 | Loja: 3 | Posição Esteira Loja: 22
[VENDIDO]   2025-04-03 19:50:22 - [ID=53] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 105 | Posição Esteira: 11 | Loja: 1 | Posição Esteira Loja: 4
[VENDIDO]   2025-04-03 19:50:22 - [ID=54] Sedan Tradicional Azul | Estação: 1 | Funcionário: 104 | Posição Esteira: 5 | Loja: 2 | Posição Esteira Loja: 12
[VENDIDO]   2025-04-03 19:50:22 - [ID=55] Sedan Tradicional Verde | Estação: 1 | Funcionário: 116 | Posição Esteira: 18 | Loja: 2 | Posição Esteira Loja: 33
[VENDIDO]   2025-04-03 19:50:23 - [ID=56] Utilitário Esportivo Vermelho | Estação: 4 | Funcionário: 113 | Posição Esteira: 14 | Loja: 1 | Posição Esteira Loja: 22
[VENDIDO]   2025-04-03 19:50:23 - [ID=57] Sedan Tradicional Verde | Estação: 1 | Funcionário: 103 | Posição Esteira: 11 | Loja: 1 | Posição Esteira Loja: 12
[VENDIDO]   2025-04-03 19:50:23 - [ID=58] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 119 | Posição Esteira: 20 | Loja: 1 | Posição Esteira Loja: 34
[VENDIDO]   2025-04-03 19:50:23 - [ID=59] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 103 | Posição Esteira: 18 | Loja: 3 | Posição Esteira Loja: 0
[VENDIDO]   2025-04-03 19:50:23 - [ID=60] Sedan Tradicional Azul | Estação: 3 | Funcionário: 108 | Posição Esteira: 11 | Loja: 2 | Posição Esteira Loja: 24
[VENDIDO]   2025-04-03 19:50:23 - [ID=61] Sedan Tradicional Azul | Estação: 1 | Funcionário: 120 | Posição Esteira: 2 | Loja: 1 | Posição Esteira Loja: 24
[VENDIDO]   2025-04-03 19:50:23 - [ID=62] Sedan Tradicional Verde | Estação: 2 | Funcionário: 108 | Posição Esteira: 13 | Loja: 3 | Posição Esteira Loja: 3
[VENDIDO]   2025-04-03 19:50:23 - [ID=63] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 107 | Posição Esteira: 15 | Loja: 2 | Posição Esteira Loja: 33
[VENDIDO]   2025-04-03 19:50:23 - [ID=64] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 102 | Posição Esteira: 35 | Loja: 3 | Posição Esteira Loja: 35
[VENDIDO]   2025-04-03 19:50:23 - [ID=65] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 113 | Posição Esteira: 5 | Loja: 2 | Posição Esteira Loja: 20
[VENDIDO]   2025-04-03 19:50:23 - [ID=66] Sedan Tradicional Verde | Estação: 4 | Funcionário: 106 | Posição Esteira: 13 | Loja: 1 | Posição Esteira Loja: 14
[VENDIDO]   2025-04-03 19:50:23 - [ID=67] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 111 | Posição Esteira: 38 | Loja: 2 | Posição Esteira Loja: 3
[VENDIDO]   2025-04-03 19:50:23 - [ID=68] Sedan Tradicional Vermelho | Estação: 1 | Funcionário: 110 | Posição Esteira: 30 | Loja: 2 | Posição Esteira Loja: 5
[VENDIDO]   2025-04-03 19:50:23 - [ID=69] Sedan Tradicional Verde | Estação: 4 | Funcionário: 116 | Posição Esteira: 30 | Loja: 1 | Posição Esteira Loja: 33
[VENDIDO]   2025-04-03 19:50:23 - [ID=70] Sedan Tradicional Azul | Estação: 1 | Funcionário: 108 | Posição Esteira: 18 | Loja: 1 | Posição Esteira Loja: 28
[VENDIDO]   2025-04-03 19:50:23 - [ID=71] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 114 | Posição Esteira: 27 | Loja: 3 | Posição Esteira Loja: 22
[VENDIDO]   2025-04-03 19:50:23 - [ID=72] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 107 | Posição Esteira: 39 | Loja: 2 | Posição Esteira Loja: 23
[VENDIDO]   2025-04-03 19:50:23 - [ID=73] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 103 | Posição Esteira: 6 | Loja: 2 | Posição Esteira Loja: 22
[VENDIDO]   2025-04-03 19:50:23 - [ID=74] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 114 | Posição Esteira: 11 | Loja: 3 | Posição Esteira Loja: 27
[VENDIDO]   2025-04-03 19:50:23 - [ID=75] Utilitário Esportivo Verde | Estação: 4 | Funcionário: 116 | Posição Esteira: 28 | Loja: 1 | Posição Esteira Loja: 27
[VENDIDO]   2025-04-03 19:50:23 - [ID=76] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 107 | Posição Esteira: 30 | Loja: 1 | Posição Esteira Loja: 1
[VENDIDO]   2025-04-03 19:50:23 - [ID=77] Sedan Tradicional Verde | Estação: 2 | Funcionário: 115 | Posição Esteira: 29 | Loja: 2 | Posição Esteira Loja: 36
[VENDIDO]   2025-04-03 19:50:23 - [ID=78] Utilitário Esportivo Azul | Estação: 4 | Funcionário: 106 | Posição Esteira: 22 | Loja: 2 | Posição Esteira Loja: 36
[VENDIDO]   2025-04-03 19:50:23 - [ID=79] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 112 | Posição Esteira: 17 | Loja: 1 | Posição Esteira Loja: 9
[VENDIDO]   2025-04-03 19:50:23 - [ID=80] Sedan Tradicional Azul | Estação: 2 | Funcionário: 107 | Posição Esteira: 5 | Loja: 1 | Posição Esteira Loja: 26
[VENDIDO]   2025-04-03 19:50:23 - [ID=81] Sedan Tradicional Verde | Estação: 1 | Funcionário: 114 | Posição Esteira: 12 | Loja: 2 | Posição Esteira Loja: 32
[VENDIDO]   2025-04-03 19:50:23 - [ID=82] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 109 | Posição Esteira: 14 | Loja: 2 | Posição Esteira Loja: 9
[VENDIDO]   2025-04-03 19:50:23 - [ID=83] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 107 | Posição Esteira: 32 | Loja: 3 | Posição Esteira Loja: 25
[VENDIDO]   2025-04-03 19:50:23 - [ID=84] Sedan Tradicional Vermelho | Estação: 3 | Funcionário: 104 | Posição Esteira: 29 | Loja: 2 | Posição Esteira Loja: 7
[VENDIDO]   2025-04-03 19:50:23 - [ID=85] Utilitário Esportivo Azul | Estação: 4 | Funcionário: 120 | Posição Esteira: 36 | Loja: 2 | Posição Esteira Loja: 17
[VENDIDO]   2025-04-03 19:50:23 - [ID=86] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 113 | Posição Esteira: 24 | Loja: 1 | Posição Esteira Loja: 14
[VENDIDO]   2025-04-03 19:50:23 - [ID=87] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 120 | Posição Esteira: 29 | Loja: 3 | Posição Esteira Loja: 2
[VENDIDO]   2025-04-03 19:50:23 - [ID=88] Sedan Tradicional Verde | Estação: 4 | Funcionário: 104 | Posição Esteira: 5 | Loja: 1 | Posição Esteira Loja: 38
[VENDIDO]   2025-04-03 19:50:23 - [ID=89] Utilitário Esportivo Verde | Estação: 4 | Funcionário: 107 | Posição Esteira: 23 | Loja: 3 | Posição Esteira Loja: 26
[VENDIDO]   2025-04-03 19:50:23 - [ID=90] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 118 | Posição Esteira: 25 | Loja: 1 | Posição Esteira Loja: 11
[VENDIDO]   2025-04-03 19:50:23 - [ID=91] Sedan Tradicional Azul | Estação: 3 | Funcionário: 103 | Posição Esteira: 23 | Loja: 2 | Posição Esteira Loja: 32
[VENDIDO]   2025-04-03 19:50:23 - [ID=92] Sedan Tradicional Azul | Estação: 4 | Funcionário: 114 | Posição Esteira: 6 | Loja: 1 | Posição Esteira Loja: 23
[VENDIDO]   2025-04-03 19:50:23 - [ID=93] Sedan Tradicional Verde | Estação: 3 | Funcionário: 102 | Posição Esteira: 2 | Loja: 1 | Posição Esteira Loja: 34
[VENDIDO]   2025-04-03 19:50:23 - [ID=94] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 108 | Posição Esteira: 6 | Loja: 3 | Posição Esteira Loja: 35
[VENDIDO]   2025-04-03 19:50:23 - [ID=95] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 120 | Posição Esteira: 22 | Loja: 1 | Posição Esteira Loja: 23
[VENDIDO]   2025-04-03 19:50:23 - [ID=96] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 111 | Posição Esteira: 5 | Loja: 3 | Posição Esteira Loja: 23
[VENDIDO]   2025-04-03 19:50:23 - [ID=97] Sedan Tradicional Verde | Estação: 3 | Funcionário: 117 | Posição Esteira: 29 | Loja: 2 | Posição Esteira Loja: 31
[VENDIDO]   2025-04-03 19:50:23 - [ID=98] Sedan Tradicional Vermelho | Estação: 3 | Funcionário: 107 | Posição Esteira: 0 | Loja: 1 | Posição Esteira Loja: 20
[VENDIDO]   2025-04-03 19:50:23 - [ID=99] Sedan Tradicional Azul | Estação: 1 | Funcionário: 110 | Posição Esteira: 17 | Loja: 1 | Posição Esteira Loja: 12
[VENDIDO]   2025-04-03 19:50:23 - [ID=100] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 117 | Posição Esteira: 5 | Loja: 1 | Posição Esteira Loja: 9
[VENDIDO]   2025-04-03 19:50:23 - [ID=101] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 103 | Posição Esteira: 11 | Loja: 1 | Posição Esteira Loja: 17
[VENDIDO]   2025-04-03 19:50:23 - [ID=102] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 106 | Posição Esteira: 28 | Loja: 2 | Posição Esteira Loja: 11
[VENDIDO]   2025-04-03 19:50:23 - [ID=103] Sedan Tradicional Azul | Estação: 4 | Funcionário: 102 | Posição Esteira: 29 | Loja: 1 | Posição Esteira Loja: 20
[VENDIDO]   2025-04-03 19:50:23 - [ID=104] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 111 | Posição Esteira: 16 | Loja: 2 | Posição Esteira Loja: 34
[VENDIDO]   2025-04-03 19:50:23 - [ID=105] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 108 | Posição Esteira: 35 | Loja: 2 | Posição Esteira Loja: 11
[VENDIDO]   2025-04-03 19:50:23 - [ID=106] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 118 | Posição Esteira: 3 | Loja: 2 | Posição Esteira Loja: 27
[VENDIDO]   2025-04-03 19:50:23 - [ID=107] Sedan Tradicional Azul | Estação: 3 | Funcionário: 118 | Posição Esteira: 31 | Loja: 3 | Posição Esteira Loja: 14
[VENDIDO]   2025-04-03 19:50:23 - [ID=108] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 120 | Posição Esteira: 35 | Loja: 3 | Posição Esteira Loja: 32
[VENDIDO]   2025-04-03 19:50:23 - [ID=109] Sedan Tradicional Azul | Estação: 3 | Funcionário: 106 | Posição Esteira: 17 | Loja: 3 | Posição Esteira Loja: 5
[VENDIDO]   2025-04-03 19:50:23 - [ID=110] Utilitário Esportivo Azul | Estação: 4 | Funcionário: 108 | Posição Esteira: 28 | Loja: 3 | Posição Esteira Loja: 26
[VENDIDO]   2025-04-03 19:50:23 - [ID=111] Sedan Tradicional Azul | Estação: 1 | Funcionário: 102 | Posição Esteira: 2 | Loja: 3 | Posição Esteira Loja: 34
[VENDIDO]   2025-04-03 19:50:23 - [ID=112] Utilitário Esportivo Azul | Estação: 2 | Funcionário: 102 | Posição Esteira: 27 | Loja: 1 | Posição Esteira Loja: 15
[VENDIDO]   2025-04-03 19:50:23 - [ID=113] Sedan Tradicional Verde | Estação: 1 | Funcionário: 112 | Posição Esteira: 14 | Loja: 2 | Posição Esteira Loja: 21
[VENDIDO]   2025-04-03 19:50:23 - [ID=114] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 119 | Posição Esteira: 34 | Loja: 3 | Posição Esteira Loja: 16
[VENDIDO]   2025-04-03 19:50:23 - [ID=115] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 102 | Posição Esteira: 36 | Loja: 2 | Posição Esteira Loja: 36
[VENDIDO]   2025-04-03 19:50:23 - [ID=116] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 117 | Posição Esteira: 24 | Loja: 2 | Posição Esteira Loja: 33
[VENDIDO]   2025-04-03 19:50:23 - [ID=117] Sedan Tradicional Verde | Estação: 2 | Funcionário: 103 | Posição Esteira: 27 | Loja: 3 | Posição Esteira Loja: 20
[VENDIDO]   2025-04-03 19:50:23 - [ID=118] Sedan Tradicional Azul | Estação: 1 | Funcionário: 116 | Posição Esteira: 27 | Loja: 2 | Posição Esteira Loja: 29
[VENDIDO]   2025-04-03 19:50:24 - [ID=119] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 102 | Posição Esteira: 4 | Loja: 2 | Posição Esteira Loja: 20
[VENDIDO]   2025-04-03 19:50:24 - [ID=120] Sedan Tradicional Azul | Estação: 3 | Funcionário: 120 | Posição Esteira: 12 | Loja: 3 | Posição Esteira Loja: 0
[VENDIDO]   2025-04-03 19:50:24 - [ID=121] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 108 | Posição Esteira: 12 | Loja: 3 | Posição Esteira Loja: 37
[VENDIDO]   2025-04-03 19:50:24 - [ID=122] Utilitário Esportivo Verde | Estação: 1 | Funcionário: 115 | Posição Esteira: 32 | Loja: 1 | Posição Esteira Loja: 14
[VENDIDO]   2025-04-03 19:50:24 - [ID=123] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 120 | Posição Esteira: 15 | Loja: 1 | Posição Esteira Loja: 28
[VENDIDO]   2025-04-03 19:50:24 - [ID=124] Sedan Tradicional Vermelho | Estação: 3 | Funcionário: 104 | Posição Esteira: 7 | Loja: 3 | Posição Esteira Loja: 26
[VENDIDO]   2025-04-03 19:50:24 - [ID=125] Sedan Tradicional Verde | Estação: 3 | Funcionário: 118 | Posição Esteira: 9 | Loja: 3 | Posição Esteira Loja: 33
[VENDIDO]   2025-04-03 19:50:24 - [ID=126] Sedan Tradicional Vermelho | Estação: 2 | Funcionário: 118 | Posição Esteira: 35 | Loja: 3 | Posição Esteira Loja: 3
[VENDIDO]   2025-04-03 19:50:24 - [ID=127] Sedan Tradicional Verde | Estação: 4 | Funcionário: 103 | Posição Esteira: 8 | Loja: 3 | Posição Esteira Loja: 35
[VENDIDO]   2025-04-03 19:50:24 - [ID=128] Sedan Tradicional Azul | Estação: 2 | Funcionário: 117 | Posição Esteira: 18 | Loja: 1 | Posição Esteira Loja: 8
[VENDIDO]   2025-04-03 19:50:24 - [ID=129] Sedan Tradicional Azul | Estação: 2 | Funcionário: 116 | Posição Esteira: 23 | Loja: 1 | Posição Esteira Loja: 38
[VENDIDO]   2025-04-03 19:50:24 - [ID=130] Sedan Tradicional Azul | Estação: 2 | Funcionário: 116 | Posição Esteira: 1 | Loja: 1 | Posição Esteira Loja: 31
[VENDIDO]   2025-04-03 19:50:24 - [ID=131] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 105 | Posição Esteira: 6 | Loja: 2 | Posição Esteira Loja: 9
[VENDIDO]   2025-04-03 19:50:24 - [ID=132] Sedan Tradicional Azul | Estação: 1 | Funcionário: 108 | Posição Esteira: 6 | Loja: 1 | Posição Esteira Loja: 12
[VENDIDO]   2025-04-03 19:50:24 - [ID=133] Sedan Tradicional Verde | Estação: 4 | Funcionário: 120 | Posição Esteira: 4 | Loja: 2 | Posição Esteira Loja: 14
[VENDIDO]   2025-04-03 19:50:24 - [ID=134] Sedan Tradicional Azul | Estação: 2 | Funcionário: 117 | Posição Esteira: 4 | Loja: 3 | Posição Esteira Loja: 37
[VENDIDO]   2025-04-03 19:50:24 - [ID=135] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 118 | Posição Esteira: 7 | Loja: 2 | Posição Esteira Loja: 16
[VENDIDO]   2025-04-03 19:50:24 - [ID=136] Sedan Tradicional Verde | Estação: 4 | Funcionário: 102 | Posição Esteira: 8 | Loja: 1 | Posição Esteira Loja: 38
[VENDIDO]   2025-04-03 19:50:24 - [ID=137] Sedan Tradicional Azul | Estação: 1 | Funcionário: 109 | Posição Esteira: 33 | Loja: 2 | Posição Esteira Loja: 11
[VENDIDO]   2025-04-03 19:50:24 - [ID=138] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 119 | Posição Esteira: 4 | Loja: 1 | Posição Esteira Loja: 36
[VENDIDO]   2025-04-03 19:50:24 - [ID=139] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 120 | Posição Esteira: 35 | Loja: 3 | Posição Esteira Loja: 26
[VENDIDO]   2025-04-03 19:50:24 - [ID=140] Utilitário Esportivo Azul | Estação: 3 | Funcionário: 119 | Posição Esteira: 27 | Loja: 1 | Posição Esteira Loja: 18
[VENDIDO]   2025-04-03 19:50:24 - [ID=141] Sedan Tradicional Azul | Estação: 3 | Funcionário: 118 | Posição Esteira: 25 | Loja: 2 | Posição Esteira Loja: 17
[VENDIDO]   2025-04-03 19:50:24 - [ID=142] Utilitário Esportivo Azul | Estação: 1 | Funcionário: 117 | Posição Esteira: 3 | Loja: 2 | Posição Esteira Loja: 39
[VENDIDO]   2025-04-03 19:50:24 - [ID=143] Utilitário Esportivo Vermelho | Estação: 2 | Funcionário: 113 | Posição Esteira: 27 | Loja: 3 | Posição Esteira Loja: 1
[VENDIDO]   2025-04-03 19:50:24 - [ID=144] Utilitário Esportivo Vermelho | Estação: 3 | Funcionário: 110 | Posição Esteira: 35 | Loja: 1 | Posição Esteira Loja: 32
[VENDIDO]   2025-04-03 19:50:24 - [ID=145] Utilitário Esportivo Verde | Estação: 2 | Funcionário: 120 | Posição Esteira: 39 | Loja: 2 | Posição Esteira Loja: 28
[VENDIDO]   2025-04-03 19:50:24 - [ID=146] Utilitário Esportivo Verde | Estação: 3 | Funcionário: 119 | Posição Esteira: 34 | Loja: 3 | Posição Esteira Loja: 19
